date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:11	29635/29635	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Dec%202023%2016:18:11%20GMT	https://amtar.store/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.12.2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/plugins/elementor-pro/assets/js/elements-handlers.mine56c.js	(from https://amtar.store/)
23:19:11	57877/57877	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2022:19:12%20GMT	https://amtar.store/a	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/a	(from https://connect.facebook.net/en_US/fbevents.js?v=next)
23:19:12	57877/57877	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2022:19:12%20GMT	https://amtar.store/POST	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/POST	(from https://connect.facebook.net/en_US/fbevents.js?v=next)
23:19:12	57877/57877	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2022:19:13%20GMT	https://amtar.store/b.resolvedLink	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js?v=next)
23:19:13	57877/57877	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2022:19:13%20GMT	https://amtar.store/signals/iwl.js	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js?v=next)
23:19:13	57877/57877	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2022:19:13%20GMT	https://amtar.store/schema.org/	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js?v=next)
23:19:13	16534/16534	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Sep%202023%2004:41:22%20GMT	https://amtar.store/wp-includes/blocks/navigation/style.min.css?ver=6.4.2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-includes/blocks/navigation/style.min1e39.css	(from https://amtar.store/privacy-policy/)
23:19:13	32281/32281	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2006%20Nov%202023%2006:10:32%20GMT	https://amtar.store/wp-includes/js/dist/interactivity.min.js?ver=6.4.2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-includes/js/dist/interactivity.min1e39.js	(from https://amtar.store/privacy-policy/)
23:19:13	3586/3586	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Oct%202023%2004:16:34%20GMT	https://amtar.store/wp-includes/blocks/navigation/view.min.js?ver=e3d6f3216904b5b42831	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-includes/blocks/navigation/view.minff1e.js	(from https://amtar.store/privacy-policy/)
23:19:14	1359/1359	---M--	200	added ('OK')	application/json	etag:%221579-1705097954;;;%22	https://amtar.store/wp-json/wp/v2/pages/66	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/wp/v2/pages/66.json	(from https://amtar.store/privacy-policy/)
23:19:14	2063/2063	---M--	200	added ('OK')	application/json	etag:%221580-1705097955;;;%22	https://amtar.store/wp-json/oembed/1.0/embed?url=https%3A%2F%2Famtar.store%2Fprivacy-policy%2F	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/oembed/1.0/embedc64d.json	(from https://amtar.store/privacy-policy/)
23:19:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jan%202024%2022:19:15%20GMT	https://amtar.store/?p=66	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/index4f61.html	(from https://amtar.store/privacy-policy/)
23:19:15	2223/2223	---M-Z	200	added ('OK')	text/xml	etag:%221581-1705097955;gz%22	https://amtar.store/wp-json/oembed/1.0/embed?url=https%3A%2F%2Famtar.store%2Fprivacy-policy%2F&format=xml	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/oembed/1.0/embed7b2d	(from https://amtar.store/privacy-policy/)
